c2,c0,729,129,229,ff9a,type
0,0,0,0,0,0,ransom
6170120,37350011,16277511,10237990,5797175,960456,ransom
56592347,305667755,143605468,92948428,38813084,1512818,ransom
75762085,415312119,177231775,118414164,45308788,1738041,ransom
46089083,243089180,132742231,87689682,43005789,2939029,ransom
19691389,110059270,58448604,37424401,28957515,1255751,ransom
9031165,44371996,24422831,14812715,9383259,716679,ransom
5495331,28181386,17044696,9870894,7075487,227226,ransom
11037163,135424285,71002101,45600124,25166480,2212798,ransom
7102512,69645125,38914940,24300559,16073786,1230537,ransom
14044175,76881592,36567495,23853566,12016319,926867,ransom
27822522,144467150,67905639,44625420,21872593,610695,ransom
24603617,193918590,89452941,60698406,28506427,1355561,ransom
12118082,135956125,64961857,42669034,20534631,306789,ransom
17340,88116,1284289,849512,405092,47755,ransom
427058,2048402,1026277,681811,325975,31485,ransom
8413124,189072425,93558392,54358346,27904853,1179121,ransom
11538278,335022412,185213163,111844622,54143401,1502203,ransom
17654614,384722883,194320231,124851549,64461589,1736657,ransom
32161434,594610132,288438707,184872617,93663773,2598453,ransom
38163012,559757611,289895025,206582468,105943178,2705308,ransom
10854870,177762232,106394302,85137939,40203937,3528645,ransom
6202847,126458089,72306922,38580026,25548605,1457679,ransom
13049029,273608392,128490034,77626555,42597215,2251730,ransom
27395979,622216417,308514792,203006238,105147373,3937730,ransom
32697935,755139324,381047159,249183948,131399085,2398607,ransom
28160599,629573831,319865493,209236713,110312195,3240605,ransom
16134526,456719732,246491498,153424343,84005992,4479024,ransom
17622335,478758394,246772018,160262071,93617959,3482710,ransom
23774245,392406182,183163890,118392579,79821960,1061970,ransom
31210818,463622179,213382085,131334260,72305274,2352353,ransom
27261578,399887034,203022268,126250214,66278501,1682039,ransom
29159095,415439017,188827761,123924333,64512523,1735306,ransom
40684803,687616545,356488971,241596378,121767315,1986980,ransom
42960259,714946220,382050983,250902455,154844630,3570468,ransom
40514517,655262283,340270484,228145767,118435115,2436858,ransom
31562963,579464794,341859817,222916705,130295311,1715769,ransom
34853172,666932942,293934742,224021748,122091975,3222671,ransom
35437131,623713071,276455236,179312640,96408288,4499813,ransom
