c2,c0,729,129,229,ff9a,type
0,0,0,0,0,0,ransom
9355206,48296836,23161285,13809996,9019334,527575,ransom
12965871,68016545,31097854,19092189,11597949,446512,ransom
7954752,51985590,21122094,13054198,7892830,1544823,ransom
23201368,217395232,82444896,53307287,28905224,1093331,ransom
7126440,60930206,30037335,19745350,10174009,870766,ransom
3486309,36472796,18321884,11851679,6385383,405854,ransom
10098556,108022662,37646478,24620682,12989718,1948887,ransom
9893331,139251639,62837713,39820894,22970008,1022641,ransom
3059972,46778892,21982822,13835646,8133574,712535,ransom
20990620,221992302,78623772,51189194,27372526,1831295,ransom
8186572,89178869,31616821,20633439,10958064,7087,ransom
186,970,570,324,203,2955,ransom
580,2968,1968,1136,680,5826,ransom
82854,1287118,620840,388889,231226,478646,ransom
22475455,222482558,75814173,49501111,26235544,2518020,ransom
24568211,285937439,106567576,64815739,37391662,2772253,ransom
15204451,201345514,89277703,52863501,29492064,2736872,ransom
9564359,150122090,71496040,44909954,26559190,2058910,ransom
5058705,81586068,39551428,24794935,14739460,1414528,ransom
2907904,47751258,23370764,14634120,8727720,825108,ransom
18238250,183668250,60578480,39884546,20638660,2165325,ransom
41430220,418565251,141592554,92721993,48747270,2758404,ransom
43796329,449782688,149378907,98347456,50912968,2803027,ransom
16343020,219567081,91433449,58496178,32891819,2825446,ransom
17031780,222714206,90254416,57970994,32228320,2625222,ransom
19309100,249368414,99443572,64027879,35361792,2577687,ransom
17143998,225456251,91804786,58922849,32829610,1518623,ransom
3680891,57597480,27303211,17165838,10124385,1056487,ransom
30985214,310517652,102867187,67636704,35141430,2465147,ransom
56284993,570434073,186452206,123017200,63277906,2588512,ransom
56828851,559518326,180291355,119049675,61090514,2616855,ransom
50617958,495419440,166943382,109531758,57223292,2674882,ransom
44954626,471128802,157922550,103919275,53887176,2674145,ransom
12724959,184355158,82568593,52288266,30236857,2664403,ransom
15316109,209616614,88831043,56689007,32093455,2664028,ransom
17438260,232778187,96152714,61586720,34516386,2653147,ransom
19528281,251814176,100463780,64672836,35733216,2633825,ransom
44687771,457274656,154399407,101380271,52892962,2655584,ransom
27975079,294740329,109839456,70986908,38734444,2693847,ransom
37011877,369398609,132909251,86636940,46094114,2734827,ransom
40271258,414287521,146700962,95301622,51276471,2500446,ransom
49369748,492914351,165652483,108547324,56969714,2021227,ransom
58755618,568169075,180123352,119223049,60742878,1951093,ransom
60879222,582768869,181276989,120377453,60732716,2023912,ransom
63216847,603775172,190351957,126003192,64177316,2106531,ransom
53747011,518265320,166962572,110086956,56726381,2055882,ransom
10613124,156009770,70355407,44525635,25796507,1930371,ransom
12464217,171704543,73255436,46711259,26505368,1964329,ransom
10029170,145609239,65134916,41260773,23843702,1979734,ransom
11035433,159899138,71332917,45206235,26093217,1897934,ransom
29969084,324411652,111359849,73028087,38216043,1981546,ransom
34567274,327725011,117822598,75841948,41861752,2094952,ransom
23028137,216051942,90226135,56434124,33701246,2057566,ransom
27764235,265808648,102683887,65239952,37339896,2226064,ransom
27514397,270663118,104790502,66666892,38005162,2259009,ransom
33798359,312790748,117141959,75271165,41679898,2315740,ransom
35025149,307471607,115798818,74587716,40955775,2226686,ransom
29546583,280746310,107366986,71607604,35637303,2204162,ransom
28611446,296958749,106379368,71355792,34860526,2372873,ransom
22605062,257683168,99850256,64769450,34932198,2022637,ransom
11635475,158878723,68652199,43641500,24956660,1774901,ransom
6272780,94325708,44905194,28152214,16714366,1551933,ransom
5526147,88100985,43614068,27216337,16360606,1602622,ransom
5711989,86757018,41781850,26148563,15595975,1227924,ransom
4566321,69574500,33819615,21134567,12649311,1359925,ransom
4563400,69594197,34689017,21606584,13039708,1217599,ransom
3919291,64134244,31815328,19871521,11923628,1070055,ransom
3767833,62777899,31205729,19495564,11694714,1069350,ransom
4588557,70921149,33420614,21026220,12377727,1219165,ransom
7940179,106158635,45462085,28917211,16500119,1512610,ransom
10591177,132658218,53008295,34052702,18903145,1456891,ransom
4795148,73638798,35752623,22354545,13363333,1258390,ransom
4187197,64857131,32142525,20030637,12076496,1190841,ransom
