c2,c0,729,129,229,ff9a,type
0,0,0,0,0,0,ransom
6385267,88506663,38113979,29486956,8469575,310302,ransom
6855894,91807824,39311864,30590707,8590983,228202,ransom
5755832,87161731,36823464,29375440,7281175,403533,ransom
13752639,128000432,54501910,40539746,13549177,234558,ransom
3940071,77811475,32994548,26792387,6103133,358667,ransom
7720056,96478436,40477617,32041553,8036308,164325,ransom
1198685,64501471,25674338,21810721,3823343,156712,ransom
1395869,65653290,26165684,22182149,3940751,163342,ransom
1434485,65719362,26228306,22208751,3974652,148367,ransom
1142204,64588533,25627759,21830278,3762805,319104,ransom
6579573,89004919,37046373,29322618,7442720,93595,ransom
1329467,65288056,26151325,22140847,3960755,171665,ransom
1226751,64888442,25819798,21951802,3828600,158100,ransom
1208050,64768798,25759211,21908820,3812089,147163,ransom
1139500,64437431,25568028,21779212,3754223,227147,ransom
1140692,64506136,25596145,21803036,3758421,75405,ransom
1150146,64654959,25668085,21859054,3773863,153718,ransom
1147171,64574278,25633614,21830985,3766948,148212,ransom
10288327,57796974,24462100,15750528,8281445,1302101,ransom
10342587,86676735,37573487,27032128,10249506,297487,ransom
6117018,83421148,36072701,28310836,7607102,196351,ransom
11433071,113951064,48731573,36530823,11908053,327062,ransom
4679695,82058110,34722102,28037151,6561167,289259,ransom
13938310,120423664,52106708,38293213,13451840,120166,ransom
11557577,108545764,48150658,35753983,12121470,420285,ransom
7536820,86965829,36986169,29065132,7580767,534259,ransom
13968866,129875313,55480289,41353772,13767842,339995,ransom
9601574,100174853,44930077,34769066,9927329,447072,ransom
58659575,364878233,161664942,115691808,42829224,1577381,ransom
71631055,429509123,186925635,134587130,48523474,1039515,ransom
33525587,231536297,110154672,77992735,30783320,1218355,ransom
38012695,236611315,123743336,84870477,37374524,944225,ransom
4109860,73334259,31159383,25079872,5968946,289430,ransom
11542821,113216032,50168694,37410410,12513478,895392,ransom
12515138,119699532,51990286,38817358,12902656,167071,ransom
5301033,84047630,35892710,28896940,6876570,320210,ransom
8502512,98468866,42389464,33429550,8750650,464741,ransom
13216491,124606010,52784898,39204568,13214930,478194,ransom
10542921,109815289,49251163,38087603,10937073,393555,ransom
9776011,104638470,45359225,35511753,9605756,295472,ransom
5499373,85346629,36477688,29304828,7046831,245532,ransom
7534902,93749885,39870801,31706333,7963638,385011,ransom
1726831,66984950,27023040,22708103,4255783,153347,ransom
1211502,64623493,25706752,21858990,3809921,181439,ransom
3549747,76242778,32104237,26217029,5798692,414923,ransom
3175810,72931157,28713453,24056973,4527019,139889,ransom
1137388,64159470,25462578,21687976,3740145,143236,ransom
3034737,72953686,29189653,24286495,4838579,643801,ransom
8053529,58058624,24817946,17083646,7463521,840557,ransom
4874870,83187858,34630145,27417321,7119393,228860,ransom
3638730,53048108,21188911,16787116,4051433,640012,ransom
5861848,65290628,28063433,20942239,7000565,476353,ransom
4814159,79033342,31811383,25369217,6324275,534670,ransom
13357915,122958322,50151013,37054057,12326487,643924,ransom
4618069,90972175,37501108,30100120,7320478,421405,ransom
10107985,68960682,31910474,22903269,8753158,747908,ransom
13627991,119804546,48549874,39159682,9125214,648443,ransom
12567868,124396048,48193892,38481460,9505889,624898,ransom
17577537,140261308,59010726,42443047,16010103,880712,ransom
11214300,118100694,48164460,36057755,11736501,484783,ransom
6090733,85751953,35569243,28203768,7214680,149944,ransom
8229141,98074036,41486871,32061019,9190529,726217,ransom
3712757,78003640,32366323,26321021,5941842,398210,ransom
15536660,138756148,56865279,42219175,14202307,514611,ransom
3853571,78432236,32262918,26115073,5983909,310748,ransom
1318580,65587303,26268774,22237223,3986735,149396,ransom
3760196,77353585,31128777,25599796,5391915,460392,ransom
6149875,88314056,37821781,29459780,8237397,672017,ransom
4106768,63792840,27502865,21794280,5592048,165334,ransom
12405934,120988114,50217670,38010622,11931961,728656,ransom
6198299,91971516,37106848,29302389,7577135,170972,ransom
6848862,69904517,30994961,23852781,6979353,588596,ransom
3256801,74354841,29648036,24190523,5120507,178108,ransom
1591404,60832947,24423100,20552710,3820006,139690,ransom
5631359,65512549,28144194,21394302,6640849,939546,ransom
3471040,72357361,28911908,23421091,5090359,133020,ransom
5346688,80690562,34135071,26584261,7437443,342580,ransom
7172899,96285944,38749843,30255863,8098911,761754,ransom
