c2,c0,729,129,229,ff9a,type
0,0,0,0,0,0,ransom
85502518,454744999,200476210,141434784,54437655,1016297,ransom
37524986,202505658,102217224,67224644,33212252,1197672,ransom
50818195,266193469,145895176,94558578,48619500,1246314,ransom
18601156,94604619,46665034,30432971,14747233,293979,ransom
18967834,93495364,47138419,30098137,15629047,485194,ransom
19662978,100243046,49786462,32556572,15280027,288795,ransom
12990137,66439042,31431551,20208725,10177007,80285,ransom
14024295,68212707,33227949,21543770,10670123,245139,ransom
14409719,68051017,31920764,20899402,9990772,20508,ransom
12933283,62291745,29954011,19373301,9572718,115087,ransom
14462606,74024347,35241019,23105750,11104125,73084,ransom
11819967,61978825,29752296,19272300,9501329,9303,ransom
23702539,124286413,59645348,38638926,19044086,9398,ransom
11822517,61993156,29752146,19273932,9499147,9769,ransom
11851350,62137509,29829010,19322812,9524714,9479,ransom
11846843,62120729,29811184,19311878,9518088,8456,ransom
11873258,62259078,29885012,19359877,9541512,17249,ransom
12268025,63809529,30417266,19724154,9701242,9890,ransom
11872813,62256883,29881240,19357418,9540243,8729,ransom
11935527,62585206,30043708,19460764,9594257,9660,ransom
11887784,62335445,29912925,19377860,9550434,21063,ransom
12380,58526,40845,23896,15624,4765,ransom
23992541,125751729,60334900,39091001,19261573,16504,ransom
11954149,62683587,30081234,19486755,9604553,8019,ransom
11936531,62590779,30030633,19454307,9587711,9754,ransom
11944577,62632696,30054003,19468746,9595926,7783,ransom
11921497,62512046,29997762,19432217,9577917,9833,ransom
11974698,62789619,30132816,19519810,9621180,11776,ransom
11914099,62468279,29999122,19430402,9582162,15062,ransom
11945591,62638017,30068911,19478312,9601082,11711,ransom
11907442,62438261,29966276,19412418,9567558,14700,ransom
11895697,62376745,29934063,19391401,9557426,21839,ransom
11968979,62754556,30155390,19526438,9638309,8208,ransom
11940226,62610171,30043620,19462286,9592467,9127,ransom
11908854,62445651,29965901,19412032,9567376,9434,ransom
11912471,62464806,29976187,19418304,9571097,10474,ransom
11940429,62612092,30053366,19467681,9596675,8566,ransom
11863055,62204521,29857200,19341512,9533157,15168,ransom
11864160,62192488,29860634,19343066,9535341,13622,ransom
11909668,62446552,29977063,19418356,9572185,10306,ransom
11847318,62122967,29814934,19314394,9519176,15253,ransom
11939217,62604918,30051728,19467863,9594962,15932,ransom
11904929,62424823,29969209,19413696,9569479,10330,ransom
11948030,62651119,30070034,19479521,9600766,8385,ransom
12286268,64312243,31130862,20178200,9958495,84149,ransom
13925005,72137495,34817250,22555003,11221353,5030,ransom
11919701,62492767,29987232,19426163,9574111,11417,ransom
11928358,62556470,30049961,19458146,9603849,11449,ransom
11921444,62466341,29967738,19412512,9570740,11146,ransom
8417389,44137995,21177937,13718810,6762579,40520,ransom
5564908,29143378,14155667,9142610,4557065,12644,ransom
10775746,56504064,27107129,17560131,8654287,9468,ransom
10597458,55568522,26661930,17272470,8511989,9968,ransom
11989311,62867174,30160430,19538388,9628942,7814,ransom
11960273,62715482,30089144,19492498,9605951,265779,ransom
18840227,100978001,44277193,31150410,12095995,227033,ransom
22442176,125059994,53786549,38330716,14358498,260878,ransom
26526694,139021532,67957396,45611775,20956637,25254,ransom
11956188,62692515,30092044,19490383,9611821,14885,ransom
11929282,62554874,30022769,19446747,9588385,14019,ransom
12020092,63043058,30244836,19583517,9667583,15857,ransom
11893346,62364228,29916214,19379862,9551264,11186,ransom
11948986,62654758,30058107,19469268,9595468,11241,ransom
11953078,62677477,30065502,19477427,9598541,8452,ransom
11983789,62840189,30195021,19550068,9652604,43651,ransom
12077116,63282402,30531234,19764238,9772073,8319,ransom
11947961,62650611,30049053,19466585,9593887,9351,ransom
11947672,62649317,30053351,19469471,9594898,8827,ransom
11978081,62809003,30129200,19518023,9619352,6498,ransom
11985946,62850337,30155196,19534580,9628597,16465,ransom
12048206,63097591,30258876,19602219,9663040,16174,ransom
11929724,62554609,30016285,19444114,9584272,10010,ransom
11924635,62527497,29999840,19434645,9578163,9349,ransom
11998823,62917820,30184634,19554509,9636774,4819,ransom
12002450,62936062,30189381,19557227,9638546,8939,ransom
11980298,62820488,30131681,19519872,9620209,11058,ransom
11939545,62603062,30033841,19457168,9589005,11847,ransom
11940847,62612894,30037604,19458903,9589819,6258,ransom
11924225,62525929,29997282,19433155,9576731,11725,ransom
11978145,62809172,30132610,19519869,9620975,9860,ransom
11920112,62504614,29983922,19424217,9572261,15491,ransom
11912179,62463428,29966533,19413013,9567043,9499,ransom
11939392,62604423,30035030,19457204,9589405,6299,ransom
11964324,62736564,30098257,19498343,9609500,8728,ransom
11969168,62762166,30111679,19507235,9613286,9135,ransom
11962003,62723404,30091101,19493609,9607424,21886,ransom
11951555,62645391,30050341,19465547,9597108,107525,ransom
13919828,71299654,33356294,21351401,10985845,100107,ransom
12627401,65789513,31399471,20315692,10085405,18880,ransom
11880964,62295968,29885229,19358842,9543259,39836,ransom
12658259,65996622,31637729,20464384,10157800,16178,ransom
11841160,62090580,29785393,19295493,9509248,24931,ransom
11913150,62440895,29990926,19416327,9567303,13980,ransom
20172816,105774986,50753253,32879679,16238464,11249,ransom
13397759,70253533,33707852,21835434,10763002,9647,ransom
11915590,62481192,29969723,19415083,9568213,8226,ransom
11968327,62757403,30107865,19504527,9612092,5876,ransom
11912565,62465067,29966646,19413199,9566938,151571,ransom
13548875,70354700,33785165,21925704,10828021,189229,ransom
16619904,84161408,39153791,25446441,12600588,67957,ransom
12399559,64618289,31162769,20271656,9889782,33218,ransom
12012845,62958367,30304674,19600327,9690029,16319,ransom
2040346,10707336,5158765,22952181,1649759,15377,ransom
11815900,61958255,29721707,19254101,9488985,9590,ransom
12012352,62858060,30396858,19705284,9720834,91166,ransom
13930477,72277500,34919040,22608597,11278101,8325,ransom
11929478,62554644,30017971,19443931,9588778,12906,ransom
11852668,62159064,29840732,19322550,9536927,8627,ransom
