c2,c0,729,129,229,ff9a,type
0,0,0,0,0,0,ransom
31806933,161582121,85492003,57688827,26708389,700741,ransom
11561178,59017474,31346308,21327878,9680822,240348,ransom
33870586,166819995,98037969,66216170,34279585,1096572,ransom
12692541,62913975,30522377,20421973,9814072,1690994,ransom
7730301,38374010,18835506,12346802,6303855,1950249,ransom
12088332,60186306,27806410,18479877,9043263,1469170,ransom
8415942,42140496,22332234,13781283,8400608,1368394,ransom
9729891,140326200,44468964,30103717,14196331,1706066,ransom
7311169,122200368,37331265,25766178,11418348,1969983,ransom
3585409,17405204,8980704,6158048,2734277,1712087,ransom
854531,4128677,2308078,1385446,886165,1529602,ransom
3464861,16947725,7625363,4859402,2685473,1773932,ransom
9014626,46237901,21797529,14127163,7419952,1835375,ransom
8900067,49503872,23141478,15254591,7660172,1749459,ransom
6380790,62530664,23771353,14574201,9092756,1646564,ransom
1833833,148254828,34942815,24182458,10755552,1872010,ransom
1116085,41002387,10568199,7259637,3278482,1982966,ransom
92763,448172,278082,171021,102694,1226708,ransom
7808052,41308185,18307098,10374117,7735339,1857199,ransom
941728,5178785,2263419,1409187,812130,1370898,ransom
6996273,81899941,29111739,18664868,10314423,1791606,ransom
3069070,106594620,27680907,19123281,8507802,2098684,ransom
5381892,33307165,12961659,9052869,3777560,1821116,ransom
7823767,38076750,19176612,12490952,6546278,1491437,ransom
5810768,28314075,14638207,10017613,4481047,1038234,ransom
9321927,123314590,40049677,26445854,13443792,1883007,ransom
1423418,54662734,14056641,9659323,4353743,2063855,ransom
971942,5468103,2932366,1257766,1642825,1692351,ransom
10136550,53757066,24426524,15315887,8718224,2434464,ransom
53577334,365869412,146120769,103537246,39604529,3101055,ransom
61492028,330879959,145370382,102085876,40204429,2310151,ransom
35656638,204520987,110324658,72693254,35882934,2415307,ransom
34185850,209066098,101029457,68055204,31739234,1789016,ransom
7934244,73331996,26128412,16864040,9115102,1908531,ransom
4397141,40272588,14604177,8893124,5574171,1938107,ransom
