c2,c0,729,129,229,ff9a,type
0,0,0,0,0,0,ransom
18212553,93127634,49140153,33122314,15358348,306724,ransom
26904963,137911531,67415135,44452453,22087780,235720,ransom
9617165,46288368,22158712,13994042,7978455,205647,ransom
8782435,44167093,18828645,11264476,7363175,180404,ransom
24249424,178952840,62026608,38489215,22177482,1275762,ransom
57880393,532972089,161918989,103954153,54415967,2654846,ransom
32433907,370359698,102838314,68466406,32529715,2251132,ransom
24644337,336302071,84968686,56850116,26627900,2502142,ransom
66046230,619053823,189141107,121140512,63678780,1685834,ransom
20062205,191019005,58841962,38623288,19099135,1060902,ransom
8333472,126561379,30315344,20498745,9285864,1238192,ransom
11311494,146219807,37884926,24828179,12300340,1240337,ransom
11231624,125942418,35010873,22629494,11625834,863693,ransom
18857559,213620845,59812638,39088552,19522451,1501890,ransom
11971725,121817871,35384499,23618099,11087237,733609,ransom
13009860,140969177,39913126,25812220,13216600,913270,ransom
10199422,109054147,31079030,19982235,10402785,486944,ransom
16655491,153010089,47438606,30114998,16181236,465883,ransom
6544241,76297890,20693105,13568326,6677812,362119,ransom
6066678,74817618,19782852,13050250,6325435,348180,ransom
10348790,103115119,30522198,19511977,10304302,554483,ransom
8364609,92493267,26017086,16793942,8656140,352153,ransom
10414614,111590897,31770339,20456257,10607724,736056,ransom
6333825,78474394,20692183,13618825,6646671,385981,ransom
4225956,51505089,13678075,8938945,4456147,340432,ransom
10856561,134267394,35346677,23254526,11362429,1368462,ransom
39648260,441159020,121922794,79071751,40164317,2436433,ransom
34675189,438446439,113602503,74610105,36681599,2433913,ransom
40464150,392963644,116411694,74200968,39508538,961722,ransom
12013929,106423585,33527264,21428915,11375021,643623,ransom
7626422,87213710,23855329,15875205,7545118,544480,ransom
11165397,114965991,33343134,21416988,11179319,509150,ransom
10645115,99923615,30647390,19516847,10410864,457871,ransom
9304032,107431037,29330487,19162718,9536646,604960,ransom
5363053,60500032,16748812,10877214,5508514,688646,ransom
14493214,145735063,43173444,27640393,14540932,553111,ransom
7060633,83037934,22458283,14708991,7271369,509983,ransom
15129090,155988073,45270633,29127064,15110271,553748,ransom
14416481,135018276,41546629,26354746,14203021,357892,ransom
17069923,158896719,48927042,31165596,16586984,494613,ransom
12260437,130723572,37323623,24146023,12340060,598555,ransom
10646325,106388801,31442096,20126011,10590394,505135,ransom
8931296,99727214,27664042,18092107,8958683,489944,ransom
13913141,142415942,41540455,26702457,13891632,563640,ransom
8360988,94098127,26026978,17007189,8450183,460615,ransom
6874524,87750577,22777061,15033545,7278665,476367,ransom
18101710,174161617,53535278,34333305,17832045,569687,ransom
10833437,110664337,32212394,20771472,10697690,591245,ransom
9907647,108854609,30610893,19816240,10123498,538662,ransom
13376414,128426835,39012703,24872326,13220636,378675,ransom
16667532,152608763,47487497,30148614,16191009,365477,ransom
9089100,113522914,26833230,17261637,9121557,373253,ransom
12432058,128034630,37369888,24102696,12415353,475763,ransom
6993726,88219231,23152457,15335155,7340264,880390,ransom
61169156,617225511,180387977,115627653,60588210,1965222,ransom
68325300,678169812,199712183,127851177,67195529,2182689,ransom
32027772,408739813,105410779,69498428,33767091,2523340,ransom
30253923,385479798,99668440,65378097,32267782,2521291,ransom
19836012,301956400,71446145,47718347,22433106,2542853,ransom
40169006,467289869,125948175,81894819,41371671,2446069,ransom
51151792,535161065,150112357,97987379,48906559,2275846,ransom
26377270,251642895,72311863,50386433,20746708,1042384,ransom
23364356,188976869,65314141,43478970,20607299,665993,ransom
14533732,118784445,39271387,25255646,13199736,557619,ransom
13385155,125263493,41828410,27967885,13133476,612184,ransom
16611898,151173306,47472146,30106467,16223851,534356,ransom
8460859,103910305,27606094,18138938,8895670,386085,ransom
10348403,103546985,30567287,19621815,10237624,389722,ransom
10287376,97125222,29742356,18904745,10130062,611168,ransom
8770173,95439511,26930144,17428133,8905154,596804,ransom
14571950,141356407,42588498,27161929,14425876,348308,ransom
5730612,64650745,17943167,11711163,5843408,433630,ransom
14518991,151350888,43696758,28058158,14650374,511395,ransom
6222566,62994066,18510045,11816520,6269529,332381,ransom
4322733,67012197,15816075,10752854,4775656,605729,ransom
2372746,41924336,9444417,6379057,2912927,571976,ransom
14408032,149649998,43397045,27846726,14570398,599250,ransom
4218462,53292131,13887491,9156595,4447506,507227,ransom
8456742,106551973,27880153,18437831,8870504,576004,ransom
6828097,77480845,21435941,13866166,7107600,747551,ransom
7326377,123599224,28187497,19120317,8591775,1820266,ransom
31049918,393190261,100514059,67025144,32996437,2471754,ransom
45433756,518832688,139820536,90458497,46289378,2298100,ransom
63271824,657563691,189016070,117486401,63053101,2306326,ransom
61255094,624514850,177920568,114711470,59178831,1755926,ransom
27317492,244940732,76509350,48307036,26330075,453538,ransom
8157736,91367914,25412409,16597969,8259361,488595,ransom
6526421,76357263,20752394,13583737,6725500,446746,ransom
6389210,71552001,19927191,12851335,6644182,396613,ransom
