c2,c0,729,129,229,ff9a,type
640521,3031088,0,0,0,0,ransom
4703052,22205696,13116488,9520196,4773446,263738,ransom
53104666,287856956,133123048,84314742,35691321,1959334,ransom
71291134,775326776,192030052,128025033,49320229,996731,ransom
114579854,227303938,93174271,61171080,42002640,2544760,ransom
44512334,232991026,78714251,50641588,25798948,530970,ransom
29916827,154050630,36324387,22949099,11889682,358686,ransom
26876641,137730837,68596625,43625940,22146831,717940,ransom
8245132,161121344,78088307,61437780,15906911,378214,ransom
1786217,153921100,76370883,62396318,13958706,221690,ransom
3338986,161583211,80478188,65232546,15201607,547717,ransom
3894296,163009920,80075612,65167909,14862963,556825,ransom
5953516,155096817,77164511,62877332,14266042,531187,ransom
9282220,195037639,92709881,75326136,17311607,795197,ransom
10622208,206793160,94431005,77543248,16833904,670139,ransom
1666799,153134476,75855843,62048665,13799297,311331,ransom
1655140,153073599,75821125,62030379,13783979,176279,ransom
1655510,154289948,76408069,62520865,13881469,170311,ransom
1650087,153560550,76048022,62224715,13817410,299549,ransom
1654002,154233170,76377627,62496572,13875478,38662,ransom
1646542,153315110,75927701,62125909,13795949,186483,ransom
1655725,154023678,76280445,62413393,13861431,298265,ransom
1709115,153405634,75956421,62131530,13818139,294998,ransom
1438596,125355941,62176289,50814348,11342578,331211,ransom
1692371,148663362,73705285,60247080,13438884,294680,ransom
1670336,151044874,74838399,61205430,13619951,300162,ransom
1736807,144194528,71528859,58414556,13082323,166444,ransom
1729144,143798363,71319878,58249081,13039629,232601,ransom
1710893,150675617,74676008,61048234,13608984,170726,ransom
1708302,150538239,74609066,60993154,13597245,173014,ransom
1693926,148855403,73774950,60310382,13445531,269116,ransom
1704984,154862036,76716044,62747247,13956973,150844,ransom
1730676,147611654,73186596,59796245,13364950,160351,ransom
1698186,149673049,74184397,60638862,13526515,192430,ransom
1651214,153671959,76107361,62272533,13828901,286719,ransom
1662339,154882163,76697867,62757991,13933885,291381,ransom
1655902,154419395,76470761,62572869,13892318,285150,ransom
1662880,153922827,76256298,62382689,13867046,318424,ransom
1661756,154742175,76634905,62705532,13923518,287449,ransom
1656605,154487260,76505324,62600981,13898693,285046,ransom
1763734,154391738,76574975,62555613,14006405,509160,ransom
3981559,165992636,82446738,66498716,15888980,43404,ransom
1651059,153788355,76157797,62315086,13836989,294404,ransom
1694149,154756361,76685041,62714038,13962328,176584,ransom
1646478,153262022,75905651,62106610,13793242,305680,ransom
1473454,132328323,65583703,53626855,11943820,341174,ransom
1672280,156004851,77258874,63217867,14035327,279346,ransom
1702296,150009687,74355052,60784064,13552004,182720,ransom
1690217,153129281,75863242,62046242,13804706,193853,ransom
1692538,152826307,75718543,61923588,13782374,221333,ransom
1793838,157305844,77863111,63662717,14191550,370102,ransom
3387760,126599328,61680608,49586958,12050664,95491,ransom
2304912,153720603,76005523,61928090,14045744,201206,ransom
1861569,153318956,75914702,62033506,13867117,126246,ransom
1842408,157065267,77726892,63252966,14434943,210578,ransom
1645721,153131839,75837705,62051861,13779627,309308,ransom
1933075,155496523,76858076,62837836,14013377,164673,ransom
1664727,155101143,76808355,62848251,13954135,168500,ransom
1649903,153839176,76183345,62337501,13840263,181339,ransom
2233609,145634099,72207433,58661398,13527890,234060,ransom
1695633,153727555,76162058,62290440,13859334,115617,ransom
