c2,c0,729,129,229,ff9a,type
0,0,0,0,0,0,ransom
13190340,80115047,45425450,30619797,13003279,244347,ransom
20144027,136304463,75720774,50267837,21032555,482818,ransom
10431020,115665431,68564412,45763440,15997418,258227,ransom
13010591,122603035,69031057,44929473,17521244,90376,ransom
7302638,44653276,24294081,16347358,6872752,210386,ransom
6638921,41414399,22793973,15456404,6375358,572889,ransom
4667504,36320212,18738875,12567856,4739448,62118,ransom
5828988,66830021,39039865,25845157,9078005,29365,ransom
6543832,40202863,21465803,14640306,5846749,60879,ransom
1600552,13711704,7678408,5057019,1981661,62082,ransom
274647,42669620,27169104,17473811,5386439,30887,ransom
590487,3166771,1477426,982322,465479,100142,ransom
309249,50972259,32447944,20869632,6425671,58965,ransom
1629230,14491490,8542471,5638257,2229360,450602,ransom
5257780,32608106,15937458,10868203,4361887,66496,ransom
187863,28136475,17752872,11419558,3522869,16543,ransom
73554,6202656,3784316,2429696,772097,14419,ransom
34760,3101101,1811856,1167401,365181,16527,ransom
58219,6852604,4197709,2701664,837978,15078,ransom
45588,4918283,2965250,1909282,593111,11650,ransom
24294,1051236,503524,325623,106783,101512,ransom
76866,9983238,6187308,3981228,1231519,16577,ransom
305361,50881128,32391157,20834033,6412180,21555,ransom
97078,1440887,692204,450808,163201,6998,ransom
18648,431158,106547,70565,27073,102184,ransom
282413,47104467,29994566,19291465,5938683,8737,ransom
83266,13854495,8821038,5673569,1746516,21853,ransom
68524,8726183,5389181,3468369,1072973,170912,ransom
120275,17395705,10905552,7016179,2165092,4906,ransom
287471,47918361,30507862,19621570,6040151,18072,ransom
141013,23173276,14763901,9495956,2925261,8341,ransom
23582,1236321,623414,402923,129872,9195,ransom
20977,794863,342470,222291,74279,124271,ransom
192697,29148029,18387330,11828714,3646553,10761,ransom
263926,43979301,28002020,18010952,5544283,18712,ransom
49625,5613582,3408475,2194335,680945,11553,ransom
32851,2777174,1606188,1034963,324647,107532,ransom
110932,15023941,9395587,6045653,1867542,13680,ransom
195256,32004139,20379453,13107382,4035997,17630,ransom
47965,5304422,3210741,2067195,641696,83592,ransom
120833,17159486,10754892,6919363,2136208,113748,ransom
252558,42061082,26764714,17215314,5297574,129722,ransom
373704,62265501,39625286,25487206,7843889,87046,ransom
170988,25982110,16541457,10637005,3283730,180800,ransom
118985,16676858,10450198,6722705,2077401,7429,ransom
562467,49110827,31092262,19874632,6175732,169981,ransom
2232410,41327760,23887791,15018118,5406074,126121,ransom
994612,23289086,13984822,8989101,3030819,18458,ransom
28596,4420780,2815631,1810883,558529,130019,ransom
956759,42680190,26454783,16997086,5483602,16867,ransom
166867,24874074,15842318,10189541,3138255,128421,ransom
160891,24154101,15210898,9785409,3016921,3969,ransom
280076,46365026,29512110,18982059,5842834,15960,ransom
20848,441626,117309,77459,30733,129905,ransom
216789,36127556,22985759,14784472,4548988,302514,ransom
6233872,75139010,39082970,27287985,7508347,397948,ransom
10430771,84274870,36249824,27168374,6761782,310592,ransom
9797663,99579525,53616643,35092526,13063550,66795,ransom
755442,10277959,6217463,4002686,1544501,63664,ransom
336170,51957883,33088559,21277539,6567522,18223,ransom
71175,1206757,549933,349755,137278,140493,ransom
255345,40689445,25898223,16654814,5134413,99048,ransom
189895,31573482,20103043,12930197,3979407,60417,ransom
117733,15377354,9623588,6190131,1917045,16000,ransom
398344,10177636,6113377,3949358,1265620,106018,ransom
323651,23807987,15031231,9653531,3080313,114745,ransom
