c2,c0,729,129,229,ff9a,type
0,0,0,0,0,0,ransom
49681493,482448420,254270841,191086890,44151171,1603688,ransom
67238746,686465559,366050222,276886225,60848701,1494914,ransom
78788819,797147953,424083405,320481047,71005950,2141400,ransom
75413855,732808854,387844407,291263683,67797278,2214164,ransom
74484009,731308501,387349655,291625565,66570659,2148744,ransom
78893613,793195498,422108589,318663242,71254582,2695070,ransom
68907291,682554745,362000521,273152549,61475969,2308836,ransom
68521891,685685125,364807028,275239853,61922152,2122408,ransom
76093955,766604195,408898885,308746155,68895274,2216245,ransom
66239322,674075444,359437919,271821962,59869436,1767444,ransom
66194341,675148865,359790029,272106055,59885182,2278461,ransom
79598609,813153619,433388530,327856360,71994773,2111942,ransom
69742516,710611788,378856647,286457139,63136267,2109298,ransom
90405955,923570126,491824838,372065838,81703601,2212829,ransom
90252077,921885511,490624967,371142098,81523286,2138868,ransom
92012937,939565170,499910679,378067958,83228049,2308504,ransom
84234001,852353696,452428497,342196411,75393549,2509744,ransom
89945077,910848550,482631191,364738715,80811639,2102016,ransom
94197492,962118180,511934269,387256940,85076344,2157485,ransom
99284800,1014224039,539591651,408197583,89649811,2194063,ransom
100678558,1028360150,547174626,413931483,90915881,2026757,ransom
99441076,1015762978,540470227,408854767,89802678,2051562,ransom
98394943,1004998588,534720926,404502351,88853207,2092420,ransom
97666413,997730803,530799327,401548847,88189743,2224297,ransom
101535635,1036920674,551632249,417306524,91655068,2094577,ransom
100000510,1019678816,542264914,410186112,90151292,2297243,ransom
100021141,1008877997,536182767,404996392,90088105,2147532,ransom
96143076,978471029,520762106,393678768,86936484,2142593,ransom
90142597,917794186,488367693,369197589,81513241,2235863,ransom
82781749,843507319,449329294,339759330,74869896,1824653,ransom
88035614,895302222,515113007,374839823,82861027,2339323,ransom
88386565,901998502,480192757,363172867,79898705,1921767,ransom
76742524,779690377,415912466,314303135,69583714,1832796,ransom
86555787,880447105,468846914,354404198,78318008,2271714,ransom
94798036,966926106,514837002,389341967,85713733,1851573,ransom
74108241,753704911,401429052,303182474,67178834,2122381,ransom
89783175,915931971,487401001,368616518,81119045,2172392,ransom
94390094,960515448,511211260,386455089,85353005,2352273,ransom
98047607,995113173,529525565,400191546,88626900,2239186,ransom
