c2,c0,729,129,229,ff9a,type
0,0,0,0,0,0,ransom
4841130,45253041,21993655,15085489,6233534,456613,ransom
8967591,45473589,22176013,12085092,9948402,340157,ransom
20013344,358872623,190914656,148323003,33234544,870602,ransom
43751259,809279285,429400441,329454703,76062456,1158500,ransom
32763373,648091669,341557130,260037734,65500586,1801245,ransom
48768547,835993385,486870261,357431768,96114480,1747502,ransom
39496392,879739310,508246002,386861797,97478358,1668281,ransom
40513598,893377103,516903518,391817644,101003601,1816350,ransom
40927394,870670709,505141211,384810425,96339763,2009905,ransom
35919030,1017678106,597491578,454001412,114835679,2359639,ransom
41764771,1129097952,618459345,469949210,119071736,1865471,ransom
39311969,1215379754,672424742,511861086,127901567,2053396,ransom
35989886,986389442,574450853,437188891,109632128,2306115,ransom
42660468,1108758958,645414336,490035966,124563771,1898115,ransom
35368828,971467269,567977825,406717439,108324361,2064822,ransom
41906279,1122976990,657493595,498363211,127766528,2111906,ransom
35082416,1057183470,621798598,473470941,118165748,1946503,ransom
38019250,1121723763,657356649,536241485,123433500,1850856,ransom
37328861,1095205107,643845818,489707076,123087452,1971678,ransom
38850066,1051776863,613165441,466910301,109407052,1990462,ransom
39132686,1044137693,653665017,497394015,116488935,2009881,ransom
33564795,980757684,568463068,433974313,106988915,1894972,ransom
39389032,1091416935,680423343,485211049,129127944,1605446,ransom
38532058,1062674816,620889957,472813221,118157042,2126291,ransom
40097469,1036816342,599439753,456390965,105440144,1914228,ransom
45581136,1128343484,704256048,500821884,135588707,1634293,ransom
33820608,976703002,572454756,437042975,107648589,2259067,ransom
37118549,1112176653,653551540,497824033,124042072,1922891,ransom
38652598,1044801689,555524916,424597794,104143022,1989023,ransom
43474684,1245741325,673751848,549585646,127057195,1856463,ransom
48568426,1032829571,591206968,449617060,123108114,1783409,ransom
47926771,982877564,564475848,428439939,109458747,2090363,ransom
43257581,1108069139,612449214,486447861,121317682,1836558,ransom
45563119,1082844243,621421650,447179313,117858028,1814282,ransom
43040787,1038699533,599603537,429757412,107757759,2264708,ransom
50859641,1132698367,652155207,496275041,124842294,1751213,ransom
