c2,c0,729,129,229,ff9a,type
0,0,0,0,0,0,ransom
4679178,38048117,20477744,14731047,5060671,310753,ransom
23933915,440827726,248153341,190243306,46142442,1258294,ransom
37668590,938874636,543593987,417091900,100105291,1289256,ransom
33601474,735191287,423598786,324673270,78719284,1615959,ransom
26101900,524766321,303455726,228600851,61007618,1811189,ransom
31559090,805429460,473714142,359527427,91779864,1445704,ransom
38085202,897932705,520892054,394588469,101798166,1802670,ransom
37694598,988130297,577969255,440596781,109704286,1776008,ransom
37153146,1061469850,623927736,474675255,119206540,2144741,ransom
40799924,1099109468,640667533,486752526,123163147,1962726,ransom
36820483,1080350601,634393941,483354424,120309258,2203272,ransom
38161074,1013079955,595037010,451942086,114880708,2123597,ransom
38888723,924504375,535614277,406541262,103587534,2088240,ransom
44963018,998631236,573755774,435300319,111504809,2223566,ransom
44688631,1136722464,658738351,500667988,126670909,2051247,ransom
39788854,1117463454,652211439,497562094,123120465,2148643,ransom
49417587,1063980092,606883295,461214115,117012983,1685578,ransom
54458720,1179472376,672101707,511356210,129066327,1851602,ransom
34928483,866471940,504402790,381954822,98532833,1885341,ransom
50065541,1024732280,584468827,443025272,114206846,1827099,ransom
48946190,1091389178,625725584,474680679,121627363,1992906,ransom
40614079,1077223061,626671018,479713623,116687266,1979751,ransom
46381874,1082313543,627737313,476009835,122372331,2158443,ransom
48169938,1067767880,623216512,470155939,124373565,2052953,ransom
50753897,1028950093,595841022,449780784,118862529,2261839,ransom
42350157,1171237242,685326840,520782193,131633154,2047696,ransom
35991333,994945916,585191952,443861330,113264389,1790648,ransom
41024031,1075538457,625030023,480007297,114659754,1903186,ransom
38959606,1122658236,657235660,501265188,124126958,1971960,ransom
39309260,1183504284,694985482,529210905,132093768,1783485,ransom
33928023,914245919,533686691,407436624,100461695,1925903,ransom
40712850,1157942732,676800523,515759023,128314255,1826316,ransom
37127798,968441688,562900589,430660580,105016567,2150576,ransom
37784599,1094977383,640671560,489417473,120128497,1967601,ransom
40190213,1120111218,654430993,496819376,126163530,1969208,ransom
37315898,1099799090,646416320,492297013,122864327,1920962,ransom
40791408,1145221962,669261235,511691529,125132091,1933589,ransom
38206186,1146114613,672398181,513350562,126310336,1877987,ransom
35123943,1070592079,629474507,479733224,119142633,1798300,ransom
39650322,1165745099,684277387,520959550,130184623,1837567,ransom
38159518,1067674727,626015749,476070484,119889463,2031345,ransom
35688562,1036984095,608404517,462640922,116455437,2077508,ransom
43434618,1142625343,661362039,504763670,124792413,1505506,ransom
38504195,1101129510,643859477,491736396,120851610,1772668,ransom
35471871,1006106077,589441667,450509280,110300421,1645063,ransom
42877843,1131029366,656774348,503740169,121126342,1535432,ransom
39737689,1076384627,627203907,479469886,117348372,1825410,ransom
42037525,1157400238,674317178,513723971,128001415,1682396,ransom
35484474,1087797854,640837380,487168470,122658042,1943874,ransom
38160640,1116846450,654911890,499976307,123134816,1590683,ransom
39358879,1103687952,645037301,492022925,121841272,1804453,ransom
34483624,1059991441,623914957,474815249,118848614,2015192,ransom
43348246,1061970024,610945715,469056488,112433580,1990275,ransom
41687669,1121309940,655579715,497837511,126504932,1841154,ransom
37210929,971364698,565245988,428207735,110095738,1770237,ransom
37743123,1111054492,653656034,496006009,126249368,1872531,ransom
34794471,975207767,572720734,435145021,110145479,1871096,ransom
40808002,1080872522,631444712,479758036,121563520,1649171,ransom
41696300,1133003974,658179326,505596933,120460149,1764647,ransom
41981621,1129391631,656879541,501164743,123929410,1802572,ransom
34603276,1024692674,603333460,458668701,115456878,1945994,ransom
39013397,944738242,544375611,414848490,103480535,1945856,ransom
41945187,1116136872,647979817,493816249,122992608,1743534,ransom
40175924,1167920270,684413726,521894625,129360504,1829469,ransom
40605388,1078358526,627827398,478791333,118853510,1648694,ransom
34819581,1020840666,598765646,456713597,112982879,1978267,ransom
38759985,1075696836,625120862,478587712,116203062,1773993,ransom
41427112,1158033480,673550377,514669828,126314549,1740727,ransom
38236782,1136666566,665841675,507393133,126211411,2074871,ransom
36775209,1047823515,610708657,464743577,116651699,2075637,ransom
40945953,1114076165,643748791,490513951,122455535,2280870,ransom
40043240,1163285869,679110221,519005060,127117251,1640270,ransom
41021618,1209917334,708230048,541073640,132708093,1568129,ransom
37036962,1102723330,648219877,492692932,124250160,1978671,ransom
36708111,1021471162,597049607,453982489,114316440,2103980,ransom
42689673,1007244177,582734372,441289577,113876769,1747693,ransom
47127898,1187396630,686899400,522521638,131509320,1677927,ransom
42487656,1050204545,605333650,461982829,114274837,1974659,ransom
42656204,1092601776,636502956,483226269,122900604,1810179,ransom
37989457,933923434,539688300,411079196,102764857,1635744,ransom
40290242,1207810997,706833230,540309296,132057037,1554613,ransom
33262992,1019300833,599664557,456330258,114241229,1981657,ransom
46872605,1144365149,660252177,501432382,127456639,1883111,ransom
51048591,1059962359,605376073,457456039,119821007,1764312,ransom
54410029,1099839068,618759449,475786602,113406757,1338688,ransom
45196004,1102423485,635307847,484670944,120221299,1597270,ransom
39693868,1165033785,682254664,520958729,128134441,1798723,ransom
32018958,1000519066,590236524,448941545,112675581,2218313,ransom
40080045,1199031099,702289215,536002142,132151728,1266048,ransom
40806291,1084829556,630707745,482493235,117786352,1873949,ransom
41910879,1131232044,660115593,502570742,125887270,1904737,ransom
47198467,1173103222,686767003,519625020,134830599,1780152,ransom
41029785,1105376789,646888920,491837939,123958877,2027806,ransom
52540177,1217715293,708338587,536633031,138534206,2051593,ransom
39550624,1041065643,609777070,461245139,119669805,1887216,ransom
35079553,1088391535,640998346,488120695,121725457,1918681,ransom
42239558,1189761959,696795471,529203746,134154433,1748734,ransom
38424878,1105900639,646134000,494328239,120323987,1667795,ransom
41348008,1134548477,663332992,504445892,127044204,1922806,ransom
34353049,1056478345,621765772,473432294,118152783,2082175,ransom
