c2,c0,729,129,229,ff9a,type
0,0,0,0,0,0,ransom
31180172,200045133,95580756,59039825,34637322,741857,ransom
29192345,148266334,66179547,42639173,21564735,590816,ransom
16891892,84869870,38340671,24982011,12872951,554990,ransom
81579891,417350266,181757424,123495843,50685151,1226977,ransom
84888571,450130481,184485959,128060055,53693229,1473731,ransom
62229055,287408340,126859370,95599296,51768027,1759388,ransom
62775559,272810133,134548308,89371061,44708519,716035,ransom
17393326,88128688,46639283,46666728,12258821,327399,ransom
25185148,112267416,47889628,45930707,14010313,214301,ransom
10106419,39970412,17315758,11631137,5349867,35379,ransom
1563393,5203917,2608566,1699079,812897,51559,ransom
591336,2979304,1515332,1127679,374741,58003,ransom
10179174,45162908,19701436,13228049,5923332,84400,ransom
20283225,90103549,38271705,25519247,11614351,107609,ransom
23962597,105429240,46955861,31194408,14535089,216116,ransom
6687712,29526965,14612871,9865350,4424140,61867,ransom
734780,4295404,2641840,1670343,941858,191043,ransom
4197599,23076722,10605922,7870620,2648725,359361,ransom
8733866,52637912,26567735,19577887,6782503,330633,ransom
6103711,37020584,18656713,12298657,6089141,45243,ransom
557141,2655977,1412010,932482,458808,57567,ransom
21301,108569,78849,47473,443543,6314,ransom
1281385,5659038,2577391,1681717,855445,24693,ransom
4505,20609,17369,846358,4405,14581,ransom
2708167,13131254,6632377,5143977,2258837,23639,ransom
130748,576896,261417,1130062,81234,3523,ransom
194,978,718,425,23168,2939,ransom
32014,177715,121786,66999,52254,15024,ransom
1973,9022,6642,4619,1841,7982,ransom
5530,25429,19842,12841,6209,2400,ransom
1935687,8856952,3918397,2707833,1178662,479895,ransom
117968,438702,141408,112184,25601,4612,ransom
302,1487,1274,741,504,2532,ransom
0,0,0,0,0,2123,ransom
1424,7250,4066,2337,1433,7029,ransom
2097,8934,6032,4070,1977,6942,ransom
241,1176,702,380,276,4335,ransom
0,0,0,0,0,2546,ransom
9899,43952,39818,23461,15715,10508,ransom
3016,13831,11186,7957,2794,5619,ransom
2234,10366,8215,4793,2254,4024,ransom
322,1466,1619,548,2254,2934,ransom
0,0,1619,548,0,2320,ransom
0,0,1619,0,0,2597,ransom
1437,7291,6198,2615,1554,8034,ransom
96,487,2234,532,0,2557,ransom
290,1465,2198,342,199,3039,ransom
0,0,0,0,0,2326,ransom
0,0,0,0,0,5643,ransom
4884,24718,20513,12799,7313,7303,ransom
1242,5969,3483,1917,1438,6443,ransom
92,410,316,192,110,2563,ransom
3231,13559,8259,4777,3269,4547,ransom
